countyFIPS,County Name,State,StateFIPS,1/1/22,1/2/22,1/3/22,1/4/22,1/5/22,1/6/22,1/7/22,1/8/22,1/9/22,1/10/22,1/11/22,1/12/22,1/13/22,1/14/22,1/15/22,1/16/22,1/17/22,1/18/22,1/19/22,1/20/22,1/21/22,1/22/22,1/23/22,1/24/22,1/25/22,1/26/22,1/27/22,1/28/22,1/29/22,1/30/22,1/31/22,2/1/22,2/2/22,2/3/22,2/4/22,2/5/22,2/6/22,2/7/22,2/8/22,2/9/22,2/10/22,2/11/22,2/12/22,2/13/22,2/14/22,2/15/22,2/16/22,2/17/22,2/18/22,2/19/22,2/20/22,2/21/22,2/22/22,2/23/22,2/24/22,2/25/22,2/26/22,2/27/22,2/28/22,3/1/22,3/2/22,3/3/22,3/4/22,3/5/22,3/6/22,3/7/22,3/8/22,3/9/22,3/10/22,3/11/22,3/12/22,3/13/22,3/14/22,3/15/22,3/16/22,3/17/22,3/18/22,3/19/22,3/20/22,3/21/22,3/22/22,3/23/22,3/24/22,3/25/22,3/26/22,3/27/22,3/28/22,3/29/22,3/30/22,3/31/22,4/1/22,4/2/22,4/3/22,4/4/22,4/5/22,4/6/22,4/7/22,4/8/22,4/9/22,4/10/22,4/11/22,4/12/22,4/13/22,4/14/22,4/15/22,4/16/22,4/17/22,4/18/22,4/19/22,4/20/22,4/21/22,4/22/22,4/23/22,4/24/22,4/25/22,4/26/22,4/27/22,4/28/22,4/29/22,4/30/22,5/1/22,5/2/22,5/3/22,5/4/22,5/5/22,5/6/22,5/7/22,5/8/22,5/9/22,5/10/22,5/11/22,5/12/22,5/13/22,5/14/22,5/15/22,5/16/22,5/17/22,5/18/22,5/19/22,5/20/22,5/21/22,5/22/22,5/23/22,5/24/22,5/25/22,5/26/22,5/27/22,5/28/22,5/29/22,5/30/22,5/31/22,6/1/22,6/2/22,6/3/22,6/4/22,6/5/22,6/6/22,6/7/22,6/8/22,6/9/22,6/10/22,6/11/22,6/12/22,6/13/22,6/14/22,6/15/22,6/16/22,6/17/22,6/18/22,6/19/22,6/20/22,6/21/22,6/22/22,6/23/22,6/24/22,6/25/22,6/26/22,6/27/22,6/28/22,6/29/22,6/30/22,7/2/22,7/3/22,7/4/22,7/5/22,7/6/22,7/7/22,7/8/22,7/9/22,7/10/22,7/11/22,7/12/22,7/13/22,7/14/22,7/15/22,7/16/22,7/17/22,7/18/22,7/19/22,7/20/22,7/21/22,7/22/22,7/23/22,7/24/22,7/25/22,7/26/22,7/27/22,7/28/22,7/29/22,7/30/22,7/31/22,8/1/22,8/2/22,8/3/22,8/4/22,8/5/22,8/6/22,8/7/22,8/8/22,8/9/22,8/10/22,8/11/22,8/12/22,8/13/22,8/14/22,8/15/22,8/16/22,8/17/22,8/18/22,8/19/22,8/20/22,8/21/22,8/22/22,8/23/22,8/24/22,8/25/22,8/26/22,8/27/22,8/28/22,8/29/22,8/30/22,8/31/22,9/1/22,9/2/22,9/3/22,9/4/22,9/5/22,9/6/22,9/7/22,9/8/22,9/9/22,9/10/22,9/11/22,9/12/22,9/13/22,9/14/22,9/15/22,9/16/22,9/17/22,9/18/22,9/19/22,9/20/22,9/21/22,9/22/22,9/23/22,9/24/22,9/25/22,9/26/22,9/27/22,9/28/22,9/29/22,9/30/22,10/1/22,10/2/22,10/3/22,10/4/22,10/5/22,10/6/22,TOTAL Cases
12001,Alachua County ,FL,12,43279,43279,43279,43279,43279,43279,47057,47057,47057,47057,47057,47057,47057,53586,53586,53586,53586,53586,53586,53586,58537,58537,58537,58537,58537,58537,58537,62121,62121,62121,62121,62121,62121,62121,64444,64444,64444,64444,64444,64444,64444,65992,65992,65992,65992,65992,65992,65992,66632,66632,66632,66632,66632,66632,66632,67074,67074,67074,67074,67074,67074,67074,67364,67364,67364,67364,67364,67364,67364,67575,67575,67575,67575,67575,67575,67575,67575,67575,67575,67575,67575,67575,67575,67908,67908,67908,67908,67908,67908,67908,67908,67908,67908,67908,67908,67908,67908,68136,68136,68136,68136,68136,68136,68136,68136,68136,68136,68136,68136,68136,68136,68467,68467,68467,68467,68467,68467,68467,68467,68467,68467,68467,68467,68467,68467,69008,69008,69008,69008,69008,69008,69008,69008,69008,69008,69008,69008,69008,69008,69987,69987,69987,69987,69987,69987,69987,69987,69987,69987,69987,69987,69987,69987,71531,71531,71531,71531,71531,71531,71531,71531,71531,71531,71531,71531,71531,71531,73353,73353,73353,73353,73353,73353,73353,73353,73353,73353,73353,73353,73353,73353,75246,75246,75246,75246,75246,75246,75246,75246,75246,75246,75246,75246,75246,77352,77352,77352,77352,77352,77352,77352,77352,77352,77352,77352,77352,77352,77352,79514,79514,79514,79514,79514,79514,79514,79514,79514,79514,79514,79514,79514,79514,80981,80981,80981,80981,80981,80981,80981,80981,80981,80981,80981,80981,80981,80981,82098,82098,82098,82098,82098,82098,82098,82098,82098,82098,82098,82098,82098,82098,83099,83099,83099,83099,83099,83099,83099,83099,83099,83099,83099,83099,83099,83099,83806,83806,83806,83806,83806,83806,83806,83806,83806,83806,83806,83806,83806,83806,19706931
12003,Baker County ,FL,12,6152,6152,6152,6152,6152,6152,6347,6347,6347,6347,6347,6347,6347,6783,6783,6783,6783,6783,6783,6783,7398,7398,7398,7398,7398,7398,7398,7942,7942,7942,7942,7942,7942,7942,8272,8272,8272,8272,8272,8272,8272,8506,8506,8506,8506,8506,8506,8506,8588,8588,8588,8588,8588,8588,8588,8617,8617,8617,8617,8617,8617,8617,8628,8628,8628,8628,8628,8628,8628,8635,8635,8635,8635,8635,8635,8635,8635,8635,8635,8635,8635,8635,8635,8669,8669,8669,8669,8669,8669,8669,8669,8669,8669,8669,8669,8669,8669,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8674,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8685,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8712,8744,8744,8744,8744,8744,8744,8744,8744,8744,8744,8744,8744,8744,8744,8786,8786,8786,8786,8786,8786,8786,8786,8786,8786,8786,8786,8786,8786,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,8890,9007,9007,9007,9007,9007,9007,9007,9007,9007,9007,9007,9007,9007,9139,9139,9139,9139,9139,9139,9139,9139,9139,9139,9139,9139,9139,9139,9390,9390,9390,9390,9390,9390,9390,9390,9390,9390,9390,9390,9390,9390,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9606,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9764,9921,9921,9921,9921,9921,9921,9921,9921,9921,9921,9921,9921,9921,9921,10030,10030,10030,10030,10030,10030,10030,10030,10030,10030,10030,10030,10030,10030,2438600
12005,Bay County ,FL,12,32985,32985,32985,32985,32985,32985,34467,34467,34467,34467,34467,34467,34467,37134,37134,37134,37134,37134,37134,37134,39904,39904,39904,39904,39904,39904,39904,42327,42327,42327,42327,42327,42327,42327,43866,43866,43866,43866,43866,43866,43866,44913,44913,44913,44913,44913,44913,44913,45278,45278,45278,45278,45278,45278,45278,45434,45434,45434,45434,45434,45434,45434,45503,45503,45503,45503,45503,45503,45503,45557,45557,45557,45557,45557,45557,45557,45557,45557,45557,45557,45557,45557,45557,45635,45635,45635,45635,45635,45635,45635,45635,45635,45635,45635,45635,45635,45635,45701,45701,45701,45701,45701,45701,45701,45701,45701,45701,45701,45701,45701,45701,45768,45768,45768,45768,45768,45768,45768,45768,45768,45768,45768,45768,45768,45768,45926,45926,45926,45926,45926,45926,45926,45926,45926,45926,45926,45926,45926,45926,46217,46217,46217,46217,46217,46217,46217,46217,46217,46217,46217,46217,46217,46217,46729,46729,46729,46729,46729,46729,46729,46729,46729,46729,46729,46729,46729,46729,47484,47484,47484,47484,47484,47484,47484,47484,47484,47484,47484,47484,47484,47484,48372,48372,48372,48372,48372,48372,48372,48372,48372,48372,48372,48372,48372,49375,49375,49375,49375,49375,49375,49375,49375,49375,49375,49375,49375,49375,49375,50409,50409,50409,50409,50409,50409,50409,50409,50409,50409,50409,50409,50409,50409,51250,51250,51250,51250,51250,51250,51250,51250,51250,51250,51250,51250,51250,51250,51863,51863,51863,51863,51863,51863,51863,51863,51863,51863,51863,51863,51863,51863,52344,52344,52344,52344,52344,52344,52344,52344,52344,52344,52344,52344,52344,52344,52636,52636,52636,52636,52636,52636,52636,52636,52636,52636,52636,52636,52636,52636,12955044
12007,Bradford County ,FL,12,5490,5490,5490,5490,5490,5490,5660,5660,5660,5660,5660,5660,5660,6049,6049,6049,6049,6049,6049,6049,6504,6504,6504,6504,6504,6504,6504,6868,6868,6868,6868,6868,6868,6868,7142,7142,7142,7142,7142,7142,7142,7355,7355,7355,7355,7355,7355,7355,7412,7412,7412,7412,7412,7412,7412,7436,7436,7436,7436,7436,7436,7436,7449,7449,7449,7449,7449,7449,7449,7457,7457,7457,7457,7457,7457,7457,7457,7457,7457,7457,7457,7457,7457,7473,7473,7473,7473,7473,7473,7473,7473,7473,7473,7473,7473,7473,7473,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7475,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7503,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7538,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,7578,7639,7639,7639,7639,7639,7639,7639,7639,7639,7639,7639,7639,7639,7639,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7723,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,7841,8042,8042,8042,8042,8042,8042,8042,8042,8042,8042,8042,8042,8042,8042,8281,8281,8281,8281,8281,8281,8281,8281,8281,8281,8281,8281,8281,8281,8439,8439,8439,8439,8439,8439,8439,8439,8439,8439,8439,8439,8439,8439,8576,8576,8576,8576,8576,8576,8576,8576,8576,8576,8576,8576,8576,8576,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8656,8716,8716,8716,8716,8716,8716,8716,8716,8716,8716,8716,8716,8716,8716,2123342
12009,Brevard County ,FL,12,88645,88645,88645,88645,88645,88645,96835,96835,96835,96835,96835,96835,96835,108383,108383,108383,108383,108383,108383,108383,116349,116349,116349,116349,116349,116349,116349,122479,122479,122479,122479,122479,122479,122479,126687,126687,126687,126687,126687,126687,126687,130075,130075,130075,130075,130075,130075,130075,131391,131391,131391,131391,131391,131391,131391,132047,132047,132047,132047,132047,132047,132047,132397,132397,132397,132397,132397,132397,132397,132616,132616,132616,132616,132616,132616,132616,132616,132616,132616,132616,132616,132616,132616,132955,132955,132955,132955,132955,132955,132955,132955,132955,132955,132955,132955,132955,132955,133482,133482,133482,133482,133482,133482,133482,133482,133482,133482,133482,133482,133482,133482,134233,134233,134233,134233,134233,134233,134233,134233,134233,134233,134233,134233,134233,134233,135740,135740,135740,135740,135740,135740,135740,135740,135740,135740,135740,135740,135740,135740,138165,138165,138165,138165,138165,138165,138165,138165,138165,138165,138165,138165,138165,138165,141879,141879,141879,141879,141879,141879,141879,141879,141879,141879,141879,141879,141879,141879,145889,145889,145889,145889,145889,145889,145889,145889,145889,145889,145889,145889,145889,145889,149620,149620,149620,149620,149620,149620,149620,149620,149620,149620,149620,149620,149620,153217,153217,153217,153217,153217,153217,153217,153217,153217,153217,153217,153217,153217,153217,156915,156915,156915,156915,156915,156915,156915,156915,156915,156915,156915,156915,156915,156915,159779,159779,159779,159779,159779,159779,159779,159779,159779,159779,159779,159779,159779,159779,162249,162249,162249,162249,162249,162249,162249,162249,162249,162249,162249,162249,162249,162249,164026,164026,164026,164026,164026,164026,164026,164026,164026,164026,164026,164026,164026,164026,165122,165122,165122,165122,165122,165122,165122,165122,165122,165122,165122,165122,165122,165122,38941169
12011,Broward County ,FL,12,439975,439975,439975,439975,439975,439975,490229,490229,490229,490229,490229,490229,490229,538332,538332,538332,538332,538332,538332,538332,561395,561395,561395,561395,561395,561395,561395,573312,573312,573312,573312,573312,573312,573312,581106,581106,581106,581106,581106,581106,581106,591382,591382,591382,591382,591382,591382,591382,594046,594046,594046,594046,594046,594046,594046,595601,595601,595601,595601,595601,595601,595601,596696,596696,596696,596696,596696,596696,596696,597685,597685,597685,597685,597685,597685,597685,597685,597685,597685,597685,597685,597685,597685,599535,599535,599535,599535,599535,599535,599535,599535,599535,599535,599535,599535,599535,599535,602190,602190,602190,602190,602190,602190,602190,602190,602190,602190,602190,602190,602190,602190,606921,606921,606921,606921,606921,606921,606921,606921,606921,606921,606921,606921,606921,606921,614436,614436,614436,614436,614436,614436,614436,614436,614436,614436,614436,614436,614436,614436,627366,627366,627366,627366,627366,627366,627366,627366,627366,627366,627366,627366,627366,627366,644090,644090,644090,644090,644090,644090,644090,644090,644090,644090,644090,644090,644090,644090,660417,660417,660417,660417,660417,660417,660417,660417,660417,660417,660417,660417,660417,660417,675409,675409,675409,675409,675409,675409,675409,675409,675409,675409,675409,675409,675409,689030,689030,689030,689030,689030,689030,689030,689030,689030,689030,689030,689030,689030,689030,702243,702243,702243,702243,702243,702243,702243,702243,702243,702243,702243,702243,702243,702243,712804,712804,712804,712804,712804,712804,712804,712804,712804,712804,712804,712804,712804,712804,720214,720214,720214,720214,720214,720214,720214,720214,720214,720214,720214,720214,720214,720214,726187,726187,726187,726187,726187,726187,726187,726187,726187,726187,726187,726187,726187,726187,729934,729934,729934,729934,729934,729934,729934,729934,729934,729934,729934,729934,729934,729934,176537588
12013,Calhoun County ,FL,12,3088,3088,3088,3088,3088,3088,3217,3217,3217,3217,3217,3217,3217,3365,3365,3365,3365,3365,3365,3365,3592,3592,3592,3592,3592,3592,3592,3824,3824,3824,3824,3824,3824,3824,3927,3927,3927,3927,3927,3927,3927,4040,4040,4040,4040,4040,4040,4040,4060,4060,4060,4060,4060,4060,4060,4071,4071,4071,4071,4071,4071,4071,4076,4076,4076,4076,4076,4076,4076,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4077,4087,4087,4087,4087,4087,4087,4087,4087,4087,4087,4087,4087,4087,4087,4090,4090,4090,4090,4090,4090,4090,4090,4090,4090,4090,4090,4090,4090,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4093,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4103,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4127,4145,4145,4145,4145,4145,4145,4145,4145,4145,4145,4145,4145,4145,4145,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4187,4226,4226,4226,4226,4226,4226,4226,4226,4226,4226,4226,4226,4226,4309,4309,4309,4309,4309,4309,4309,4309,4309,4309,4309,4309,4309,4309,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4437,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4540,4606,4606,4606,4606,4606,4606,4606,4606,4606,4606,4606,4606,4606,4606,4637,4637,4637,4637,4637,4637,4637,4637,4637,4637,4637,4637,4637,4637,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,4650,1153902
12015,Charlotte County ,FL,12,24777,24777,24777,24777,24777,24777,26377,26377,26377,26377,26377,26377,26377,28445,28445,28445,28445,28445,28445,28445,30408,30408,30408,30408,30408,30408,30408,32068,32068,32068,32068,32068,32068,32068,33275,33275,33275,33275,33275,33275,33275,34321,34321,34321,34321,34321,34321,34321,34791,34791,34791,34791,34791,34791,34791,35092,35092,35092,35092,35092,35092,35092,35336,35336,35336,35336,35336,35336,35336,35466,35466,35466,35466,35466,35466,35466,35466,35466,35466,35466,35466,35466,35466,35689,35689,35689,35689,35689,35689,35689,35689,35689,35689,35689,35689,35689,35689,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,35860,36110,36110,36110,36110,36110,36110,36110,36110,36110,36110,36110,36110,36110,36110,36528,36528,36528,36528,36528,36528,36528,36528,36528,36528,36528,36528,36528,36528,37153,37153,37153,37153,37153,37153,37153,37153,37153,37153,37153,37153,37153,37153,38059,38059,38059,38059,38059,38059,38059,38059,38059,38059,38059,38059,38059,38059,38985,38985,38985,38985,38985,38985,38985,38985,38985,38985,38985,38985,38985,38985,39945,39945,39945,39945,39945,39945,39945,39945,39945,39945,39945,39945,39945,41069,41069,41069,41069,41069,41069,41069,41069,41069,41069,41069,41069,41069,41069,42214,42214,42214,42214,42214,42214,42214,42214,42214,42214,42214,42214,42214,42214,43369,43369,43369,43369,43369,43369,43369,43369,43369,43369,43369,43369,43369,43369,44006,44006,44006,44006,44006,44006,44006,44006,44006,44006,44006,44006,44006,44006,44522,44522,44522,44522,44522,44522,44522,44522,44522,44522,44522,44522,44522,44522,44870,44870,44870,44870,44870,44870,44870,44870,44870,44870,44870,44870,44870,44870,10453338
12017,Citrus County ,FL,12,21313,21313,21313,21313,21313,21313,22267,22267,22267,22267,22267,22267,22267,23731,23731,23731,23731,23731,23731,23731,25333,25333,25333,25333,25333,25333,25333,26800,26800,26800,26800,26800,26800,26800,27941,27941,27941,27941,27941,27941,27941,28654,28654,28654,28654,28654,28654,28654,29041,29041,29041,29041,29041,29041,29041,29219,29219,29219,29219,29219,29219,29219,29347,29347,29347,29347,29347,29347,29347,29404,29404,29404,29404,29404,29404,29404,29404,29404,29404,29404,29404,29404,29404,29491,29491,29491,29491,29491,29491,29491,29491,29491,29491,29491,29491,29491,29491,29539,29539,29539,29539,29539,29539,29539,29539,29539,29539,29539,29539,29539,29539,29688,29688,29688,29688,29688,29688,29688,29688,29688,29688,29688,29688,29688,29688,29988,29988,29988,29988,29988,29988,29988,29988,29988,29988,29988,29988,29988,29988,30414,30414,30414,30414,30414,30414,30414,30414,30414,30414,30414,30414,30414,30414,31019,31019,31019,31019,31019,31019,31019,31019,31019,31019,31019,31019,31019,31019,31740,31740,31740,31740,31740,31740,31740,31740,31740,31740,31740,31740,31740,31740,32541,32541,32541,32541,32541,32541,32541,32541,32541,32541,32541,32541,32541,33456,33456,33456,33456,33456,33456,33456,33456,33456,33456,33456,33456,33456,33456,34434,34434,34434,34434,34434,34434,34434,34434,34434,34434,34434,34434,34434,34434,35304,35304,35304,35304,35304,35304,35304,35304,35304,35304,35304,35304,35304,35304,35814,35814,35814,35814,35814,35814,35814,35814,35814,35814,35814,35814,35814,35814,36289,36289,36289,36289,36289,36289,36289,36289,36289,36289,36289,36289,36289,36289,36614,36614,36614,36614,36614,36614,36614,36614,36614,36614,36614,36614,36614,36614,8591958
12019,Clay County ,FL,12,35827,35827,35827,35827,35827,35827,38296,38296,38296,38296,38296,38296,38296,42193,42193,42193,42193,42193,42193,42193,45746,45746,45746,45746,45746,45746,45746,48940,48940,48940,48940,48940,48940,48940,50998,50998,50998,50998,50998,50998,50998,52594,52594,52594,52594,52594,52594,52594,53030,53030,53030,53030,53030,53030,53030,53275,53275,53275,53275,53275,53275,53275,53376,53376,53376,53376,53376,53376,53376,53433,53433,53433,53433,53433,53433,53433,53433,53433,53433,53433,53433,53433,53433,53465,53465,53465,53465,53465,53465,53465,53465,53465,53465,53465,53465,53465,53465,53494,53494,53494,53494,53494,53494,53494,53494,53494,53494,53494,53494,53494,53494,53548,53548,53548,53548,53548,53548,53548,53548,53548,53548,53548,53548,53548,53548,53825,53825,53825,53825,53825,53825,53825,53825,53825,53825,53825,53825,53825,53825,54232,54232,54232,54232,54232,54232,54232,54232,54232,54232,54232,54232,54232,54232,55177,55177,55177,55177,55177,55177,55177,55177,55177,55177,55177,55177,55177,55177,56295,56295,56295,56295,56295,56295,56295,56295,56295,56295,56295,56295,56295,56295,57483,57483,57483,57483,57483,57483,57483,57483,57483,57483,57483,57483,57483,58887,58887,58887,58887,58887,58887,58887,58887,58887,58887,58887,58887,58887,58887,60330,60330,60330,60330,60330,60330,60330,60330,60330,60330,60330,60330,60330,60330,61504,61504,61504,61504,61504,61504,61504,61504,61504,61504,61504,61504,61504,61504,62368,62368,62368,62368,62368,62368,62368,62368,62368,62368,62368,62368,62368,62368,63061,63061,63061,63061,63061,63061,63061,63061,63061,63061,63061,63061,63061,63061,63493,63493,63493,63493,63493,63493,63493,63493,63493,63493,63493,63493,63493,63493,15274945
