OBJECTID,OBJECTID_12_13,DEPCODE,COUNTY,COUNTYNAME,County,State,PUIsTotal,Age_0_4,Age_5_14,Age_15_24,Age_25_34,Age_35_44,Age_45_54,Age_55_64,Age_65_74,Age_75_84,Age_85plus,Age_Unkn,PUIAgeRange,PUIAgeMedian,PUIFemale,PUIMale,PUISexUnkn,PUIFLRes,PUINotFLRes,PUIFLResOut,PUIContNo,PUIContUnkn,PUIAgeAvrg,PUITravelNo,PUITravelYes,TPositive,TNegative,TInconc,TPending,T_Total_Res,T_LabPrivate_Res,T_LabDOH_Res,T_LabPrivate_NonRes,T_LabDOH_NonRes,C_Female,C_Male,C_SexUnkn,C_AllResTypes,C_Age_0_4,C_Age_5_14,C_Age_15_24,C_Age_25_34,C_Age_35_44,C_Age_45_54,C_Age_55_64,C_Age_65_74,C_Age_75_84,C_Age_85plus,C_Age_Unkn,C_AgeRange,C_AgeMedian,C_RaceWhite,C_RaceBlack,C_RaceOther,C_RaceUnknown,C_HispanicYES,C_HispanicNO,C_HispanicUnk,C_EDYes_Res,C_EDYes_NonRes,C_HospYes_Res,C_HospYes_NonRes,C_NonResDeaths,C_FLResDeaths,CasesAll,C_Men,C_Women,C_FLRes,C_NotFLRes,C_FLResOut,T_NegRes,T_NegNotFLRes,T_total,T_negative,T_positive,Deaths,EverMon,MonNow,Shape__Area,Shape__Length,Median Age for Chart
1,1,21,41,GILCHRIST,Gilchrist,FL,661,11,10,70,82,86,98,106,93,69,36,0,0 to 118,52,403,248,10,661,0,0,9,643,2,35,1,19,642,0,0,661,18,1,0,0,9,10,0,19,0,0,4,2,3,4,4,1,1,0,0,17 to 79,45,11,1,2,5,2,13,4,1,0,0,0,0,0,19,10,9,19,0,0,986,0,1005,986,19,0,21,4,920490830.042053,148547.348006441,50
2,2,54,107,PUTNAM,Putnam,FL,3382,68,104,310,484,417,535,575,422,296,160,11,0 to 118,50,2141,1197,44,3374,8,0,73,3121,133,235,19,172,3206,2,2,3370,107,65,0,0,108,64,0,172,1,17,17,24,26,28,17,19,16,7,0,3 to 98,46,93,70,8,1,7,162,3,35,0,21,0,0,6,172,64,108,172,0,0,3932,8,4114,3940,172,6,109,40,2142439482.67719,232574.925675008,42
3,3,62,123,TAYLOR,Taylor,FL,837,33,19,72,113,104,111,152,138,68,23,4,0 to 118,52,476,330,31,829,8,0,15,741,3,108,5,27,806,1,3,826,19,8,0,0,14,13,0,27,0,1,7,6,4,2,5,2,0,0,0,6 to 70,32,27,0,0,0,1,26,0,5,0,3,0,0,0,27,13,14,27,0,0,1036,7,1071,1043,27,0,130,52,2685252568.13834,267348.178950349,47
4,4,46,91,OKALOOSA,Okaloosa,FL,6827,159,136,509,974,967,888,1052,806,728,569,39,0 to 119,52,4164,2619,44,6686,140,1,118,6393,137,251,66,250,6570,6,1,6680,157,85,4,4,127,115,0,242,4,13,15,35,38,31,42,33,25,14,0,0 to 96,50,177,35,22,8,59,174,9,66,2,41,1,0,6,250,120,130,241,8,1,8208,132,8596,8340,250,6,565,180,2369222670.29688,330553.160278386,58
5,5,7,13,CALHOUN,Calhoun,FL,529,5,4,40,47,78,74,90,83,72,35,1,0 to 99,56,316,195,18,529,0,0,3,441,4,53,3,64,464,1,0,528,47,17,0,0,49,15,0,64,0,0,5,4,4,2,2,7,21,19,0,20 to 99,78,46,10,0,8,0,52,12,12,0,6,0,0,4,64,15,49,64,0,0,584,0,650,584,64,4,80,19,1487626835.10838,192207.890331272,52
6,6,50,99,PALM BEACH,Palm Beach,FL,65731,951,1347,4392,7651,7719,9208,11422,10375,7289,3782,1595,0 to 119,55,36213,29235,283,64981,748,2,1736,60979,465,5347,318,6859,58518,219,135,64632,6617,135,101,6,3317,3428,7,6752,80,193,697,1082,1077,1044,965,700,598,420,3,0 to 104,47,3093,1315,1033,1311,2183,3166,1403,1684,30,1255,22,13,367,6859,3488,3364,6750,107,2,77655,638,85385,78293,6859,367,915,650,5710098601.29486,464192.459734082,55
7,7,56,111,ST. LUCIE,St. Lucie,FL,9595,156,181,599,1120,1180,1462,1725,1609,1041,492,30,0 to 119,55,5519,3854,222,9448,147,0,377,8584,188,926,73,561,8934,6,94,9348,493,57,11,0,291,257,2,550,7,13,43,93,88,89,83,68,44,33,0,0 to 97,50,260,133,57,100,99,332,119,162,1,113,2,0,31,561,262,297,550,11,0,11846,136,12550,11982,561,31,83,68,1499679486.67142,252832.323289834,58
8,8,51,101,PASCO,Pasco,FL,13287,258,312,905,1545,1783,2108,2380,2120,1293,555,28,0 to 119,53,7785,5457,45,13213,74,0,161,12702,223,515,98,416,12849,6,16,13191,360,46,9,1,218,188,0,406,8,12,33,53,75,81,57,61,20,16,0,0 to 94,49,264,55,52,35,84,276,46,103,4,81,3,1,15,416,194,222,406,10,0,16894,64,17384,16958,416,15,733,214,1975344274.45807,225211.500752162,48
9,9,20,39,GADSDEN,Gadsden,FL,2875,48,90,204,483,492,500,456,382,139,79,2,0 to 119,47,2006,855,14,2857,17,1,28,2663,46,279,15,289,2584,2,0,2856,276,9,4,0,215,70,0,285,3,6,15,64,66,57,30,26,13,9,0,0 to 98,43,113,121,13,38,28,205,52,49,0,45,0,0,4,289,70,219,284,4,1,4090,13,4400,4103,289,4,352,176,1367889846.39806,205127.330650714,45
10,10,37,73,LEON,Leon,FL,12697,187,292,1449,2078,1877,1958,2095,1717,673,340,31,0 to 119,47,6564,5996,137,12466,230,1,149,12056,201,432,85,434,12247,3,13,12451,395,10,28,1,214,191,0,405,2,13,115,82,57,56,67,30,9,3,0,0 to 87,36,145,226,9,25,22,352,31,77,11,38,9,6,7,434,207,227,404,29,1,16396,201,17035,16597,434,7,608,220,1817477697.41779,246081.909627491,43
