"","FIPS","Admin2","Province_State","Country_Region","Last_Update","Latitude","Longitude","Confirmed","Deaths","Recovered","Active","Combined_Key","Incident_Rate","Case_Fatality_Ratio","lethality","population"
"1014",12001,"Alachua","Florida","US","2022-09-19 04:21:49",29.67866525,-82.35928158,83415,733,NA,NA,"Alachua, Florida, US",31004.3375965924,0.878738835940778,0.00878738835940778,269043
"1015",12003,"Baker","Florida","US","2022-09-19 04:21:49",30.33060121,-82.28467476,9940,146,NA,NA,"Baker, Florida, US",34029.4419719274,1.46881287726358,0.0146881287726358,29210
"1016",12005,"Bay","Florida","US","2022-09-19 04:21:49",30.26548745,-85.62122584,53174,850,NA,NA,"Bay, Florida, US",30436.4500157408,1.59852559521571,0.0159852559521571,174705
"1017",12007,"Bradford","Florida","US","2022-09-19 04:21:49",29.95079741,-82.16611613,8669,167,NA,NA,"Bradford, Florida, US",30740.0446792667,1.92640442957665,0.0192640442957665,28201
"1018",12009,"Brevard","Florida","US","2022-09-19 04:21:49",28.29409504,-80.73091022,164771,2307,NA,NA,"Brevard, Florida, US",27373.2352950949,1.40012502200023,0.0140012502200023,601942
"1019",12011,"Broward","Florida","US","2022-09-19 04:21:49",26.15184651,-80.48725556,729189,6307,NA,NA,"Broward, Florida, US",37341.1109711396,0.864933508322259,0.00864933508322259,1952778
"1020",12013,"Calhoun","Florida","US","2022-09-19 04:21:49",30.40666734,-85.19394153,4640,102,NA,NA,"Calhoun, Florida, US",32896.1361219426,2.19827586206897,0.0219827586206897,14105
"1021",12015,"Charlotte","Florida","US","2022-09-19 04:21:49",26.90131002,-81.92949121,44741,891,NA,NA,"Charlotte, Florida, US",23683.7647557038,1.99146197000514,0.0199146197000514,188910
"1022",12017,"Citrus","Florida","US","2022-09-19 04:21:49",28.84804315,-82.47614748,36388,1050,NA,NA,"Citrus, Florida, US",24314.2652866221,2.88556667033088,0.0288556667033088,149657
"1023",12019,"Clay","Florida","US","2022-09-19 04:21:49",29.98319144,-81.85609986,63114,913,NA,NA,"Clay, Florida, US",28786.0544031525,1.44658871248851,0.0144658871248851,219252
"1024",12021,"Collier","Florida","US","2022-09-19 04:21:49",26.11091986,-81.34687065,99489,1085,NA,NA,"Collier, Florida, US",25847.8781611943,1.09057282714672,0.0109057282714672,384902
"1025",12023,"Columbia","Florida","US","2022-09-19 04:21:49",30.22509788,-82.62160164,24305,428,NA,NA,"Columbia, Florida, US",33904.8070753006,1.76095453610368,0.0176095453610368,71686
